Cluster,Latitude,Longitude,CrimeCount
747,55.02444,-6.9279633,16
748,54.531162,-6.6679635,8
749,54.60107,-6.760498,12
750,54.37833,-5.981639,13
751,55.011646,-6.3346653,6
752,54.97282,-6.9201484,14
753,54.250404,-5.959577,13
754,54.485004,-5.8374496,6
755,55.003483,-6.358065,7
756,55.134594,-6.40175,10
757,54.774494,-6.126108,6
758,54.27776,-6.219972,6
759,54.732605,-5.941919,8
760,54.03263,-6.0767136,19
761,54.487408,-6.1638174,7
762,55.072205,-6.3078804,6
763,55.053986,-6.0496707,5
764,54.216427,-6.528089,6
765,55.182617,-6.31538,5
766,54.225334,-6.663441,17
767,54.206104,-6.356293,5
768,55.048115,-6.299926,5
769,54.29344,-6.803716,6
770,54.48047,-6.04455,12
771,54.04505,-6.0323253,10
772,54.700245,-6.1347046,16
773,54.286797,-6.505862,10
774,54.31974,-6.134058,10
775,54.873524,-7.3089557,49
776,54.080963,-5.950863,19
777,55.119118,-6.4955053,10
778,55.011932,-6.9802947,5
779,54.555645,-5.8497562,12
780,54.315907,-6.5309777,6
781,54.66325,-7.463596,7
782,54.27001,-6.529802,5
783,55.09465,-6.351682,6
784,54.486576,-6.823852,7
785,55.087532,-6.5099792,30
786,54.773296,-6.3514767,12
787,54.587406,-6.034505,46
788,54.287056,-5.666023,7
789,54.60516,-6.78806,7
790,54.711494,-6.6841598,5
791,54.86898,-6.5096526,22
792,54.487392,-6.376706,15
793,54.589207,-6.090656,11
794,54.557243,-7.1184797,14
795,54.37895,-7.4595227,31
796,54.68911,-7.082168,37
797,54.557243,-6.604623,5
798,54.5549,-6.152781,8
799,54.596275,-6.780159,11
800,54.403168,-5.767353,7
801,55.05062,-6.9176016,5
802,54.464886,-6.2752204,27
803,54.215878,-6.281766,7
804,54.69239,-6.014793,13
805,54.330376,-6.822932,9
806,54.49177,-6.631822,16
807,54.26293,-5.989677,10
808,54.324383,-6.3220963,6
809,54.479248,-6.4030385,30
810,54.3308,-6.3630953,22
811,54.281532,-6.320584,10
812,54.526066,-7.2077327,11
813,54.08471,-6.574154,8
814,54.129192,-6.404699,5
815,54.338947,-6.371692,7
816,54.690422,-6.759156,5
817,54.99026,-7.18127,6
818,54.47157,-8.097877,6
819,54.395214,-5.728887,5
820,54.452866,-6.799225,6
821,54.094982,-6.551118,9
822,54.835506,-6.629374,12
823,54.637543,-7.349626,7
824,54.328133,-5.676825,15
825,54.23699,-6.2260537,7
826,54.37297,-5.8980956,11
827,54.371075,-6.2204614,28
828,54.149372,-6.588752,7
829,54.77469,-6.383231,42
830,54.282593,-6.633029,11
831,54.49127,-6.3594723,13
832,54.654728,-6.204038,26
833,54.658314,-7.533604,6
834,54.569317,-6.584004,6
835,54.568718,-6.861625,7
836,54.871906,-6.524324,14
837,54.513126,-5.719397,7
838,54.509735,-6.015001,8
839,54.645588,-6.2417336,5
840,54.49409,-6.655565,9
841,54.980152,-6.370296,5
842,54.27688,-6.653268,10
843,54.33182,-7.293,21
844,55.142014,-6.246876,9
845,54.229877,-5.9336762,19
846,54.900616,-7.1013436,10
847,54.310993,-6.325869,5
848,54.41236,-6.8406553,5
849,55.037617,-6.626531,6
850,55.19694,-6.2100616,5
851,54.26345,-7.2239823,10
852,54.3225,-6.190527,5
853,54.711803,-7.5727706,6
854,54.50363,-6.4704895,8
855,54.366558,-7.350348,7
856,54.450745,-7.4883475,18
857,54.76791,-7.251374,27
858,54.76585,-6.4411964,5
859,54.815144,-6.367583,12
860,55.02065,-7.212185,12
861,55.216663,-6.5413985,19
862,54.904144,-6.0212736,9
863,54.194897,-6.2124734,7
864,54.49196,-6.7017565,49
865,54.325172,-6.204828,14
866,54.398464,-6.68735,9
867,54.15171,-5.8843975,11
868,54.499886,-5.47708,21
869,54.719685,-6.149529,5
870,54.775593,-6.442578,6
871,54.815823,-6.095367,9
872,54.0752,-6.037599,6
873,54.470818,-5.4504385,10
874,55.019684,-6.359608,5
875,54.850487,-7.449997,5
876,54.559063,-7.053848,8
877,54.204803,-6.040154,5
878,54.241364,-5.898736,5
879,54.48201,-6.28758,15
880,54.62119,-5.77778,11
881,54.75841,-5.976156,5
882,54.850456,-6.15689,7
883,54.529335,-6.8851957,5
884,54.687675,-7.568512,7
885,54.486584,-5.963977,10
886,54.08153,-6.497158,5
887,54.76037,-6.509151,17
888,54.071514,-6.391024,13
889,54.967438,-7.276541,6
890,54.346397,-6.231232,18
891,54.36192,-7.442427,5
892,55.12858,-6.556893,19
893,54.832672,-6.392275,5
894,54.650043,-6.7661123,5
895,54.897064,-7.091441,10
896,54.277294,-6.516262,5
897,54.686123,-6.749595,7
898,54.37451,-6.466452,6
